param;accuracy;recall;TP;TN;FP;FN
{'n_estimators': 50, 'max_samples': 0.5, 'max_features': 6, 'contamination': 0.2179869575608004};0.338295288;0.775377373;32589;3607876;990879;63744
{'n_estimators': 75, 'max_samples': 0.5, 'max_features': 6, 'contamination': 0.2179869575608004};0.339956194;0.775445529;32749;3608036;990719;63584
{'n_estimators': 100, 'max_samples': 0.5, 'max_features': 6, 'contamination': 0.2179869575608004};0.331921564;0.775115823;31975;3607262;991493;64358
{'n_estimators': 200, 'max_samples': 0.5, 'max_features': 6, 'contamination': 0.2179869575608004};0.339198406;0.775414433;32676;3607963;990792;63657
{'n_estimators': 25, 'max_samples': 0.2, 'max_features': 6, 'contamination': 0.2179869575608004};0.324561677;0.774813805;31266;3606553;992202;65067
{'n_estimators': 50, 'max_samples': 0.2, 'max_features': 6, 'contamination': 0.2179869575608004};0.328672418;0.774982492;31662;3606949;991806;64671
{'n_estimators': 75, 'max_samples': 0.2, 'max_features': 6, 'contamination': 0.2179869575608004};0.332689732;0.775147345;32049;3607336;991419;64284
{'n_estimators': 100, 'max_samples': 0.2, 'max_features': 6, 'contamination': 0.2179869575608004};0.329523632;0.775017422;31744;3607031;991724;64589
{'n_estimators': 200, 'max_samples': 0.2, 'max_features': 6, 'contamination': 0.2179869575608004};0.335181091;0.77524958;32289;3607576;991179;64044
{'n_estimators': 25, 'max_samples': 0.05, 'max_features': 6, 'contamination': 0.2179869575608004};0.333229527;0.775169496;32101;3607388;991367;64232
{'n_estimators': 50, 'max_samples': 0.05, 'max_features': 6, 'contamination': 0.2179869575608004};0.325599743;0.774856403;31366;3606653;992102;64967
{'n_estimators': 75, 'max_samples': 0.05, 'max_features': 6, 'contamination': 0.2179869575608004};0.327997675;0.774954804;31597;3606884;991871;64736
{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 6, 'contamination': 0.2179869575608004};0.329845432;0.775030628;31775;3607062;991693;64558
{'n_estimators': 200, 'max_samples': 0.05, 'max_features': 6, 'contamination': 0.2179869575608004};0.329752006;0.775026794;31766;3607053;991702;64567
{'n_estimators': 25, 'max_samples': 0.5, 'max_features': 4, 'contamination': 0.2179869575608004};0.316236388;0.774472172;30464;3605751;993004;65869
{'n_estimators': 50, 'max_samples': 0.5, 'max_features': 4, 'contamination': 0.2179869575608004};0.330862737;0.775072374;31873;3607160;991595;64460
{'n_estimators': 75, 'max_samples': 0.5, 'max_features': 4, 'contamination': 0.2179869575608004};0.338617089;0.775390578;32620;3607907;990848;63713
{'n_estimators': 100, 'max_samples': 0.5, 'max_features': 4, 'contamination': 0.2179869575608004};0.328153385;0.774961193;31612;3606899;991856;64721
{'n_estimators': 200, 'max_samples': 0.5, 'max_features': 4, 'contamination': 0.2179869575608004};0.335388704;0.7752581;32309;3607596;991159;64024
{'n_estimators': 25, 'max_samples': 0.2, 'max_features': 4, 'contamination': 0.2179869575608004};0.315883446;0.774457689;30430;3605717;993038;65903
{'n_estimators': 50, 'max_samples': 0.2, 'max_features': 4, 'contamination': 0.2179869575608004};0.329212212;0.775004643;31714;3607001;991754;64619
{'n_estimators': 75, 'max_samples': 0.2, 'max_features': 4, 'contamination': 0.2179869575608004};0.329419825;0.775013163;31734;3607021;991734;64599
{'n_estimators': 100, 'max_samples': 0.2, 'max_features': 4, 'contamination': 0.2179869575608004};0.329762387;0.77502722;31767;3607054;991701;64566
{'n_estimators': 200, 'max_samples': 0.2, 'max_features': 4, 'contamination': 0.2179869575608004};0.334527109;0.775222743;32226;3607513;991242;64107
{'n_estimators': 25, 'max_samples': 0.05, 'max_features': 4, 'contamination': 0.2179869575608004};0.319817716;0.774619134;30809;3606096;992659;65524
{'n_estimators': 50, 'max_samples': 0.05, 'max_features': 4, 'contamination': 0.2179869575608004};0.315592788;0.774445761;30402;3605689;993066;65931
{'n_estimators': 75, 'max_samples': 0.05, 'max_features': 4, 'contamination': 0.2179869575608004};0.322049557;0.774710719;31024;3606311;992444;65309
{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 4, 'contamination': 0.2179869575608004};0.328298714;0.774967157;31626;3606913;991842;64707
{'n_estimators': 200, 'max_samples': 0.05, 'max_features': 4, 'contamination': 0.2179869575608004};0.330053045;0.775039147;31795;3607082;991673;64538
{'n_estimators': 25, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.2179869575608004};0.280827961;0.773019164;27053;3602340;996415;69280
