;param;accuracy;recall;precision;f1;TP;TN;FP;FN
136;{'contamination': 0.14122145722511142, 'max_features': 1, 'max_samples': 0.2, 'n_estimators': 200};0.846872945;0.209876159;0.030492513;0.053248633;;;;
137;{'contamination': 0.14122145722511142, 'max_features': 1, 'max_samples': 0.2, 'n_estimators': 300};0.847383265;0.222312188;0.032299321;0.056403834;;;;
138;{'contamination': 0.14122145722511142, 'max_features': 1, 'max_samples': 0.05, 'n_estimators': 100};0.84677923;0.207592414;0.030160712;0.052669213;;;;
139;{'contamination': 0.14122145722511142, 'max_features': 1, 'max_samples': 0.05, 'n_estimators': 200};0.84714983;0.216623587;0.031472835;0.054960553;;;;
140;{'contamination': 0.14122145722511142, 'max_features': 1, 'max_samples': 0.05, 'n_estimators': 300};0.84733513;0.221139173;0.032128896;0.056106223;;;;
141;{'contamination': 0.14122145722511142, 'max_features': 1, 'max_samples': 'auto', 'n_estimators': 100};0.844712815;0.157235838;0.0228445;0.039893018;;;;
142;{'contamination': 0.14122145722511142, 'max_features': 1, 'max_samples': 'auto', 'n_estimators': 200};0.845072765;0.166007495;0.024118917;0.042118515;;;;
143;{'contamination': 0.14122145722511142, 'max_features': 1, 'max_samples': 'auto', 'n_estimators': 300};0.846115983;0.191429728;0.027812466;0.048568505;;;;
144;{'contamination': 0.026073206721577955, 'max_features': 8, 'max_samples': 0.5, 'n_estimators': 25};0.956314983;0.070816854;0.055728009;0.062372857;;;;
145;{'contamination': 0.026073206721577955, 'max_features': 8, 'max_samples': 0.5, 'n_estimators': 50};0.956416791;0.073297831;0.057680369;0.064558009;;;;
146;{'contamination': 0.026073206721577955, 'max_features': 8, 'max_samples': 0.5, 'n_estimators': 75};0.956338412;0.07138779;0.056177297;0.062875716;;;;
147;{'contamination': 0.026073206721577955, 'max_features': 8, 'max_samples': 0.5, 'n_estimators': 100};0.956429145;0.073598871;0.057917266;0.064823153;;;;
